"Id_s_category";"Id_m_category";"Scategory_name"
"101";"101";"หลอดไฟ"
"102";"101";"สายไฟ"
"103";"101";"สวิทซ์เปิด - ปิดไฟ"
"104";"101";"โปรเจคเตอร์"
"105";"101";"เครื่องปรับอากาศ"
"106";"101";"เต้ารับ"
"107";"101";"เต้าเสียบ"
"108";"101";"ก๊อกน้ำอ่างล้างหน้า"
"109";"101";"สายชำระ"
"110";"101";"โถปัสสาวะชาย"
"111";"102";"โถส้วม"
"112";"102";"ก๊อกน้ำ"
"113";"102";"โต๊ะ"
"114";"102";"เก้าอี้"
"115";"102";"พื้นกระเบื้อง"
"116";"103";"ประตูห้อง"
"117";"103";"กลอนประตู"
"118";"103";"ที่ล็อกกุญแจห้อง"
"119";"103";"ลูกบิดประตู"
"120";"103";"ฟ้าเพดาน"
"121";"104";"อื่น ๆ"
